meta-date;complaint-title;complaint-title href;readmore
1 Feb 2018, 02:11;Penerimaan PHL Damkar;https://www.lapor.go.id/laporan/detil/penerimaan-phl-damkar;"Kpd Yth. Pemprov DKI Jakarta
Saya ingin menanyakan, terkait penyelenggaraan seleksi PHL di Suku Dinas Penanggulangan Kebakaran dan Penyelamatan, Kota Administrasi Jakarta Selatan yang baru saja selesai dilaksanakan. Mohon berkenan penjelasannya : 1. Apakah dalam test fisik pada seleksi PHL seperti tersebut di atas memiliki batasan minimum bagi setiap peserta? 2. Jika memang terdapat batasan minimum terkait pencapaian tes fisik oleh peserta seleksi, mohon dijelaskan banyaknya jumlah minimal test fisik (lari & push-up). 3. Apabila seorang peserta tidak mencapai salah satu batasan jumlah minimal dalam test fisik yang dilalui apakah berpengaruh pada hasil akhir seleksi? 4. Apakah setiap peserta harus memenuhi nilai minimal dari banyaknya lari & push-up yang dilakukan untuk dapat lolos test fisik? 5. Jika tidak terdapat standar batasan minimal untuk menentukan lolos/tidaknya seorang peserta pada saat test fisik mohon dapat dijelaskan alasannya mengapa tidak ada standar minimal. Mohon berkenan responnya, sebagai bahan pembanding dengan pelaksanaan kegiatan di lapangan. Terima kasih"
22 Apr 2017, 03:53;Hidrant Rusak di Jl. Melawai Raya;https://www.lapor.go.id/laporan/detil/hidrant-rusak-di-jl-melawai-raya;Kepada Yth. Pemerintah Provinsi DKI Jakarta. Hidrant di depan kantor PT Sriwijaya Air, Jl Melawai Raya no 193 rusak setelah ada kecelakaan dan bocor. Terima kasih.
7 Nov 2013, 04:55;Permintaan Bantuan Untuk Korban Kebakaran di Matraman;https://www.lapor.go.id/laporan/detil/permintaan-bantuan-untuk-korban-kebakaran-di-matraman-1123906;Yth Pemprov DKI Jakarta pada hari rabu pukul 23:30 telah terjadi kebakaran hebat di Jalan selamet riyadi 4, Kelurahan Kebon Manggis Kecamatan Matraman, tolong bantuannya untuk korban kebakaran di daerah kami. Terima kasih.
28 Okt 2013, 06:16;Hydrant Di Jalan Susilo Rusak.;https://www.lapor.go.id/laporan/detil/hydrant-di-jalan-susilo-rusak-1113505;Yth. Pemprov DKI Jakarta diharapkan perhatian dan tindaklanjutnya atas kondisi hydrant di Jl. Susilo, Jakarta Barat. tepatnya setelah tikungan dari Jl. Makaliwe yang mengalami kerusakan. Terima kasih
23 Sep 2013, 07:35;Kejanggalan Pembangunan Asrama Damkar di Cengkareng;https://www.lapor.go.id/laporan/detil/kejanggalan-pembangunan-asrama-damkar-di-cengkareng;Kepada Yth Pemprov DKI Jakarta, saya ingin menginformasikan Rusun Damkar Cengkareng tidak sesuai dengan master plan karena seharusnya bentuk rumah, bukan Rusun. Kenapa harus dibangun bentuk Rusun untuk Asrama Damkar? Mohon penjelasannya. Terima kasih.
23 Sep 2013, 07:50;Banyak Mobil Menumpang Parkir di Halaman Kantor Sudin Kebakaran Jakarta Selatan;https://www.lapor.go.id/laporan/detil/banyak-mobil-menumpang-parkir-di-halaman-kantor-sudin-kebakaran-jakarta-selatan;Yth. Pemprov DKI Jakarta. Kantor Sudin Kebakaran Jakarta Selatan yang terletak di Jl.Raya Cileduk (Dekat Pasar Cipulir), halamannya penuh sesak dengan mobil numpang parkir dari bengkel mobil di sebelahnya. Sehingga bila ada kebakaran, mobil pemadam kebakaran sulit keluar/masuk karena terhambat oleh mobil-mobil lain yang harusnya tidak boleh parkir disana. Mohon tegas terhadap bengkel tersebut. Terimakasih.
23 Sep 2013, 07:44;Nomor Telepon Pemadam Kebakaran Kebon Jeruk Tidak Ada Yang Jawab;https://www.lapor.go.id/laporan/detil/nomor-telepon-pemadam-kebakaran-kebon-jeruk-tidak-ada-yang-jawab;Yth. Pemprov DKI Jakarta. Nomor telepon pemadam kebakaran Kebon Jeruk tidak ada yang menjawab, sedangkan nomor telepon Tanjung Duren sibuk terus.
30 Sep 2013, 05:03;Rumah Susun Yang Kumuh dan Tidak Berpenghuni;https://www.lapor.go.id/laporan/detil/rumah-susun-yang-kumuh-dan-tidak-berpenghuni;Yth. Pemprov DKI Jakarta. Saya ingin melaporkan ada rumah susun yang tidak terawat dan kumuh di daerah Cendrawasih, Cengkareng, Jakarta Barat, dan sepertinya tidak berpenghuni. Saran saya, Pemerintah dapat merenovasi rumah susun tersebut agar berfungsi kembali sebagaimana semestinya. Terima kasih.
15 Jul 2013, 04:18;Pademangan Banjir Aktifitas Warga Tersendat;https://www.lapor.go.id/laporan/detil/pademangan-banjir-aktifitas-warga-tersendat;Saya ingin melaporkan ,pademangan banjir tak ada hentinya,bagaimana penanggulangannya? sudah 3 hari tergenang banjir Warga rw 05 pademangan. Terima kasih.
15 Jul 2013, 01:54;Banjir di Daerah Pademangan Yang Tak Kunjung Surut;https://www.lapor.go.id/laporan/detil/banjir-di-daerah-pademangan-yang-tak-kunjung-surut;Saya ingin menanyakan bagaimana ini di daerah Rajawali, industri, dan Pademangan banjir berkelanjutan tidak surut surut. Tidak ada nya tindak lanjut dari Pemprov DKI membuat warga tidak bisa melakukan kegiatan sehari hari dengan maksimal. Semoga ini bisa secepat nya di selesaikan oleh Pemprov DKI Jakarta. Terima kasih.
15 Jul 2013, 02:14;Banjir di Pademangan Sudah Berhari Hari Tidak Surut;https://www.lapor.go.id/laporan/detil/banjir-di-pademangan-sudah-berhari-hari-tidak-surut;Selamat sore , saya ingin melaporkan di daerah pademangan masih banjir hingga saat ini, tolong dari Pemprov DKI secepatnya bisa meninjau daerah kami. Terima kasih.
16 Jul 2013, 01:36;Genangan Air di Daerah Budi Mulia Pademangan Barat;https://www.lapor.go.id/laporan/detil/genangan-air-di-daerah-budi-mulia-pademangan-barat;"Kepada Yth. Pemprov DKI Jakarta,
Ini kedua kalinya saya meminta bantuan dan perhatian dari pemerintah setempat. Banjir sudah berlalu, tetapi kenapa daerah Budi Mulia Pademangan Barat masih digenangi air. Mohon ditindaklanjuti dan terima kasih."
19 Jun 2013, 08:55;Banjir di Pademangan Tak Surut Sampai Hari ini;https://www.lapor.go.id/laporan/detil/banjir-di-pademangan-tak-surut-sampai-hari-ini;Permisi Saya mau bertanya, apakah pompa air ancol sudah selesai di perbaiki? karena di daerah pademangan masih banjir hingga hari ini. Mohon Pemprov DKI Jakarta cepat menangani hal ini. Terima kasih.
4 Feb 2019, 11:02;Sistem Peringatan Banjir Tidak Berjalan, SMAN 8 Kebanjiran;https://www.lapor.go.id/laporan/detil/sistem-peringatan-banjir-tidak-berjalan-sman-8-kebanjiran;Selamat siang, ini system peringatan banjir tidak berjalan, SMA 8 bukit duri dalam waktu 1 jam air naik 1 meter , banyak anak-anak yang membawa motor tidak dapat mengeluarkan kendaran, karena lambatnya ijin dari sekolah, dan tidak ada system dari kewilayahan, dari jam 03.45 katulampa siaga 2, aparat pemda DKI cq kelurahan kecamatan diam saja.Terimakasih
4 Feb 2019, 11:02;Pungutan Liar yang Dilakukan Oleh Pemadam Kebakaran;https://www.lapor.go.id/laporan/detil/pungutan-liar-yang-dilakukan-oleh-pemadam-kebakaran;Mohon ditertibkan para jajaran personel PMKnya. Mereka melakukan negosiasi harga utk memadamkan bangunan yg sedang kebakaran. Contoh untuk memadamkan ruko glodok tempo hari, mereka meminta 50 juta untuk tiap rukonya. Belum lagi kejadian yang di muara karang. Terimakasih sebelumnya. atas perhatiannya.
4 Feb 2019, 11:01;Bantuan Dari Yayasan Danamon Peduli;https://www.lapor.go.id/laporan/detil/bantuan-dari-yayasan-danamon-peduli;Berdasarkan hasil kunjungan kami kemarin (antar alat kebersihan dan alat tulis) dan berkoordinasi dengan Bag. Dapur Umum, maka kami dari Yayasan Danamon Peduli akan mengantarkan tambahan bantuan untuk Rusun Marunda berupa : 30kg Gula Jawa, dan 4800 gelas air mineral. Semoga bermanfaat. Senangnya kami dapat berbagi. Terima kasih
4 Feb 2019, 11:01;Permohonan Relokasi Semua Warga Muara Baru;https://www.lapor.go.id/laporan/detil/permohonan-relokasi-semua-warga-muara-baru;Nama saya budi tolong relokasi warga Muara Baru jangan tebang pilih yang kurang mampu atau yang mampu punya mobil sekalipun tolong direlokasi.
4 Feb 2019, 11:00;Keadilan atas pembagian Bantuan yang tertahan di ketua RT;https://www.lapor.go.id/laporan/detil/keadilan-atas-pembagian-bantuan-yang-tertahan-di-ketua-rt;Slamat siang Pak Ahok,kami korban banjir terparah (warga Rt 05/08 kel.Pejaten timur, kec.Ps.Minggu) san gat sedih,karna ba ntuan Pemerintah yg berupa paketan tas yg berisi kebut uhan hari2 yg disa lurkan melalui Rt sampai saat ini tdk dibagi2kan oleh Rt (ditimbun Rt dan keluarga bsrnya) sedangkan di Rt la innya sdh  dibagi2 kan semua kpd wa rga.kami mohon ke adilan dari Bpk. Tri makasih atas perh atian Bpk. (suci f)
30 Jan 2013, 07:20;Bantuan Penanggulangan bencana di kemurnian utara ( Kebon Torong );https://www.lapor.go.id/laporan/detil/bantuan-penanggulangan-bencana-di-kemurnian-utara-kebon-torong;Sy LILY tinggal di jl kemurnian Utara (Kebon Torong) dekat gajah mada , keluar rmh hrs lewat Gsjah mada , km sdh tinggal disana 63 th sampai skrg,minggu lalu banjir sdh 4 hr aja blm surut2, jd jalanan pd rusak .
4 Feb 2019, 11:00;Korban banjir ingin mendaftar di rumah susun di marunda;https://www.lapor.go.id/laporan/detil/korban-banjir-ingin-mendaftar-di-rumah-susun-di-marunda;Saya korban banjir dimuara baru saya daftar rumah susun yang dimarunda,tpi kata'y hrus pke KK sama KTP DKI tapi saya punya KK sm KTP DAERAH,kmren saya dngar yg mau dimarunda bebas siapa saja yg mau boleh,mohon penjelasan
4 Feb 2019, 11:00;Kobaran Api Di Kelurahan Kebon Kacang;https://www.lapor.go.id/laporan/detil/kobaran-api-di-kelurahan-kebon-kacang;Informasi diterima td mlm : berita duka wilayah kami kena musibah kebakaran di rw 09 kel kebon kacang tanah abang kobaran api msh berkobar.
23 Jan 2013, 07:47;Permohonan bantuan di jalan kembatan gantung kembangan jakarta barat;https://www.lapor.go.id/laporan/detil/permohonan-bantuan-di-jalan-kembatan-gantung-kembangan-jakarta-barat;Assalamualaikum. Ini saya Suharningsih hanya ingin tanya kenapa didaerah Jakarta Barat tidak ada bantuan yang masuk satu pun sampai saat ini. Alamat lengkap saya . Jalan Jembatan Gantung Rt 09 Rw06 Kembangan Utara Jakarta Barat rumah kami dekat sekolahan dan dibelakang pabrik kecap ABC Karena kami dapat tenda dari tim bantuan terpaksa kami 6 keluarga harus tinggal di gorong gorong saluran air yang tidak berpungsi.
