meta-date;complaint-title;complaint-title href;readmore
30 Apr, 10:22;Evakuasi sarang tawon;https://www.lapor.go.id/laporan/detil/evakuasi-sarang-tawon-202504301022101745983330146;Evakuasi Sarang Tawon Jl. RTA Milono KM. 7,5 (PT Sumber Kahayan Kharisma) Kamis, 16 Januari 2025 Pukul : 07.27 WIB
29 Apr, 16:46;Evakuasi ular masuk rumah warga;https://www.lapor.go.id/laporan/detil/evakuasi-ular-masuk-rumah-warga-202504291646571745920017288;Evakuasi ular masuk rumah warga Jl. Kinibalu (Perumahan Bali) Rabu, 15 Januari 2025 Pukul : 20.46 WIB
29 Apr, 16:43;Evakuasi Kendaraan Roda 4 (Mobil) Amblas;https://www.lapor.go.id/laporan/detil/evakuasi-kendaraan-roda-4-mobil-amblas-202504291643231745919803483;Evakuasi Kendaraan Roda 4 (Mobil) Amblas Jl. Yos Sudarso (Samping Jl. Lawu) Rabu, 15 Januari 2025 Pukul : 14.28 WIB
29 Apr, 16:41;Evakuasi sarang tawon;https://www.lapor.go.id/laporan/detil/evakuasi-sarang-tawon-202504291641081745919668718;Evakuasi sarang tawon Jl. Pahandut Seberang Rabu, 15 Januari 2025Pukul : 10.52 WIB
29 Apr, 16:38;Evakuasi sarang tawon;https://www.lapor.go.id/laporan/detil/evakuasi-sarang-tawon-202504291638551745919535725;Evakuasi sarang tawon Evakuasi sarang tawonJl. Damang Batu No.06 Rabu, 15 Januari 2025 Pukul : 10.13 WIB
29 Apr, 16:24;Evakuasi sarang tawon;https://www.lapor.go.id/laporan/detil/evakuasi-sarang-tawon-202504291624471745918687243;Evakuasi sarang tawon Jl. Diponegoro seberang Kantor Bapeda Rabu, 15 Januari 2025 Pukul : 09.09 WIB
29 Apr, 15:33;Penanganan pohon tumbang menimpa kabel listrik;https://www.lapor.go.id/laporan/detil/penanganan-pohon-tumbang-menimpa-kabel-listrik-202504291533031745915583234;Penanganan pohon tumbang menimpa kabel listrik Jl. Temanggung Kenyapi III Rabu, 15 Januari 2025 Pukul : 08.53 WIB
29 Apr, 15:29;Evakuasi Sarang Tawon;https://www.lapor.go.id/laporan/detil/evakuasi-sarang-tawon-202504291529541745915394821;Evakuasi Sarang Tawon Jl. P. Junjung buih I No 30 Selasa, 14 Januari 2025 Pukul : 17.53 WIB
29 Apr, 15:27;Evakuasi Cincin;https://www.lapor.go.id/laporan/detil/evakuasi-cincin-202504291527431745915263727;Evakuasi Cincin Jl. Diponegoro Dinas Pemadam Kebakaran dan Penyelamatan Kota Palangka Raya Bidang Penyelamatan (Rescue) Selasa, 14 Januari 2025 Pukul : 15.49 WIB
29 Apr, 15:24;Penanganan Sarang Tawon;https://www.lapor.go.id/laporan/detil/penanganan-sarang-tawon-202504291524591745915099882;Penanganan Sarang Tawon Jl. Willem.A.S. Selasa, 14 Januari 2025 Pukul : 08.53 WIB
