tgl-laporan,title,link,content,jenis_laporan,tingkat_urgensi
"Jumat, 08:23",Evakuasi Tawon,https://www.lapor.go.id/laporan/detil/evakuasi-tawon-202505231523211747988601415,pernohonan evakuasi tawon atap rumah salah rumah warga desa senori kecamatan merakurak,Evakuasi/Penyelamatan Hewan,Segera
"Jumat, 08:20",ular masuk dapur,https://www.lapor.go.id/laporan/detil/ular-masuk-dapur-202505231520261747988426654,laporan salah warga kelurahan mondokan kecamatan tuban ular cobra dapur bantuan evakuasi,Evakuasi/Penyelamatan Hewan,Segera
"Jumat, 08:18",ular masuk rumah,https://www.lapor.go.id/laporan/detil/ular-masuk-rumah-202505231518141747988294001,laporan salah warga kelurahan ronggomulyo kecamatan tuban ular cobra jawa dipan kamar,Evakuasi/Penyelamatan Hewan,Segera
"Jumat, 08:15",Kunci tertinggal di dalam mobil,https://www.lapor.go.id/laporan/detil/kunci-tertinggal-di-dalam-mobil-202505231515401747988140050,laporan salah warga desa tunah kecamatan semanding kunci mobil tertinggal terkunci mobil .,Penyelamatan Non Hewan & Bantuan Teknis,Normal
"Jumat, 08:12",Evakuasi Ular Sawo Kembang,https://www.lapor.go.id/laporan/detil/evakuasi-ular-sawo-kembang-202505231512301747987950150,"laporan permohonan evakuasi ular sowo kembang 3 , salah warga desa rengel kecamatan rengel atap dapur rumah pelapor . menyebabkan keresahan keluarga pelapor warga .",Evakuasi/Penyelamatan Hewan,Segera
"Jumat, 08:08",Evakuasi Sarang tawon,https://www.lapor.go.id/laporan/detil/evakuasi-sarang-tawon-202505231508171747987697652,laporan permohonan evakuasi sarang tawon avinis pohon mangga rumah salah warga desa wotsogo kecamatan jatirogo berdiameter 70 cm . sarang lebah menyebabkan keresahan menyerang keluarga warga .,Evakuasi/Penyelamatan Hewan,Segera
"Jumat, 08:04",Sarang Tawon,https://www.lapor.go.id/laporan/detil/sarang-tawon-202505231504161747987456830,laporan permohonan evakuasi sarang tawon avinis atap rumah salah warga desa sidomukti kecamatan kenduruan berdiameter 60 cm . sarang lebah menyebabkan keresahan keluarga warga .,Evakuasi/Penyelamatan Hewan,Segera
"Jumat, 08:01",ular di garasi motor,https://www.lapor.go.id/laporan/detil/ular-di-garasi-motor-202505231501061747987266770,laporan ular salah warga kelurahan ronggomulyo kecamatan tuban garasi motor .,Evakuasi/Penyelamatan Hewan,Segera
"Jumat, 07:57",Ular pyton,https://www.lapor.go.id/laporan/detil/ular-pyton-202505231457031747987023715,laporan salah warga desa tasikmadu kecamatan palang ular phyton 3.5 1 ekor dipekarangan samping rumah.selanjutnya bersangkutan bantuan satuan pol pp damkar evakuasi,Evakuasi/Penyelamatan Hewan,Segera
"Jumat, 07:54",ular di kandang ayam,https://www.lapor.go.id/laporan/detil/ular-di-kandang-ayam-202505231454051747986845673,laporan salah warga kelurahan gedongombo kecamatan semanding ular dikandang ayam miliknya,Evakuasi/Penyelamatan Hewan,Segera
"Jumat, 07:51",Ular meresahkan,https://www.lapor.go.id/laporan/detil/ular-meresahkan-202505231451161747986676702,laporan salah warga kelurahan ronggomulyo kecamatan tuban ular bersarang pot bekas pelapor membersihkan rumah rumah tempati,Evakuasi/Penyelamatan Hewan,Segera
"Jumat, 07:45",Ular Meresahkan,https://www.lapor.go.id/laporan/detil/ular-meresahkan-202505231445521747986352476,laporan salah warga desa banyubang kecamatan grabagan ular welang samping rumahnya,Evakuasi/Penyelamatan Hewan,Segera
"Jumat, 07:42",Ular di kandang ayam,https://www.lapor.go.id/laporan/detil/ular-di-kandang-ayam-202505231442101747986130665,laporan salah warga desa nguruhan kecamatan soko ular kandang ayam miliknya .,Evakuasi/Penyelamatan Hewan,Segera
"Jumat, 07:39",Ular Cobra Meresahkan,https://www.lapor.go.id/laporan/detil/ular-cobra-meresahkan-202505231439371747985977424,"laporan warga kelurahan latsari kecamatan tuban ular jenis cobra jawa berukuran 1.5 taman rumahnya . ular meresahkan aktivitas rumah wargasekitar , bersangkutan bantuan satuan pol pp damkar evakuasi",Evakuasi/Penyelamatan Hewan,Immediat
"Jumat, 07:30",Sarang Lebah,https://www.lapor.go.id/laporan/detil/sarang-lebah-202505231430181747985418482,"laporan permohonan evakuasi sarang lebah kandang ayam rumah warga desa laju kidul kecamatan persinggahan berdiameter 50 cm , sarang lebah menyebabkan keresahan keluarga warga .",Evakuasi/Penyelamatan Hewan,Segera
"Jumat, 07:27",Ular di Atap Rumah,https://www.lapor.go.id/laporan/detil/ular-di-atap-rumah-202505231427461747985266465,ular cobra atap rumah . lakukan evakuasi ular desa rengel kecamatan rengel,Evakuasi/Penyelamatan Hewan,Segera
"30 Apr, 8:56",sarang tawon,https://www.lapor.go.id/laporan/detil/sarang-tawon-202504301556461746003406427,sarang tawon avinis atap rumah warga desa sumberagung kecamatan plumpang,Evakuasi/Penyelamatan Hewan,Segera
"30 Apr, 8:38",Evakuasi sarang tawon,https://www.lapor.go.id/laporan/detil/evakuasi-sarang-tawon-202504301538081746002288871,laporan permohonan evakuasi sarang tawon salah warga kelurahan perbon kecamatan tuban atap rumah berdiameter 50 cm .,Evakuasi/Penyelamatan Hewan,Segera
"30 Apr, 8:35",evakuasi ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202504301535081746002108346,laporan salah warga kelurahan sukolilo kecamatan tuban ular piton berukuran 3 1 ekor samping rumah,Evakuasi/Penyelamatan Hewan,Segera
"30 Apr, 8:32",evakuasi ular,https://www.lapor.go.id/laporan/detil/evakuasi-ular-202504301532581746001978906,laporan permohonan evakuasi ular pyton warga kelurahan perbon kecamatan tuban,Evakuasi/Penyelamatan Hewan,Segera
"30 Apr, 8:28",ular di kandang ayam,https://www.lapor.go.id/laporan/detil/ular-di-kandang-ayam-202504301528271746001707505,laporan objek ular kadang ayam salah warga desa bektiharjo kecamatan semanding,Evakuasi/Penyelamatan Hewan,Segera
"30 Apr, 8:25",evakuasi sarang tawon,https://www.lapor.go.id/laporan/detil/evakuasi-sarang-tawon-202504301525161746001516187,laporan permohonan evakuasi sarang tawon avinis anggota satpolairud desa margosuko kecamatan bancar pohon halaman kantor satpolairud polisi resor tuban diameter 30,Evakuasi/Penyelamatan Hewan,Segera
