tgl-laporan,title,link,content,jenis_laporan,tingkat_urgensi,tingkat_bahaya
"Jumat, 08:23",Evakuasi Tawon,https://www.lapor.go.id/laporan/detil/evakuasi-tawon-202505231523211747988601415,Pernohonan evakuasi tawon di atap rumah di salah satu rumah warga di Desa Senori Kecamatan Merakurak,Evakuasi/Penyelamatan Hewan,Segera,Bahaya Rendah
"Jumat, 08:20",ular masuk dapur,https://www.lapor.go.id/laporan/detil/ular-masuk-dapur-202505231520261747988426654,Laporan dari salah satu warga di Kelurahan Mondokan Kecamatan Tuban ada ular cobra di dapur dan meminta bantuan untuk evakuasi,Evakuasi/Penyelamatan Hewan,Segera,Bahaya Rendah
"Jumat, 08:18",ular masuk rumah,https://www.lapor.go.id/laporan/detil/ular-masuk-rumah-202505231518141747988294001,Laporan dari salah satu warga di Kelurahan Ronggomulyo Kecamatan Tuban bahwa ada ular cobra jawa di bawah dipan kamar,Evakuasi/Penyelamatan Hewan,Segera,Bahaya Rendah
"Jumat, 08:15",Kunci tertinggal di dalam mobil,https://www.lapor.go.id/laporan/detil/kunci-tertinggal-di-dalam-mobil-202505231515401747988140050,Laporan dari salah satu warga di Desa Tunah Kecamatan Semanding bahwa kunci mobil tertinggal dan terkunci di dalam mobil.,Penyelamatan Non Hewan & Bantuan Teknis,Normal,Bahaya Rendah
"Jumat, 08:12",Evakuasi Ular Sawo Kembang,https://www.lapor.go.id/laporan/detil/evakuasi-ular-sawo-kembang-202505231512301747987950150,"Laporan permohonan evakuasi Ular Sowo kembang dengan panjang 3 m ,Dari salah satu warga di Desa Rengel Kecamatan Rengel  yang berada di atap dapur rumah pelapor. Yang menyebabkan Keresahan bagi keluarga pelapor dan  warga sekitar.",Evakuasi/Penyelamatan Hewan,Segera,Bahaya Rendah
"Jumat, 08:08",Evakuasi Sarang tawon,https://www.lapor.go.id/laporan/detil/evakuasi-sarang-tawon-202505231508171747987697652,Laporan permohonan evakuasi Sarang tawon avinis yang berada di Pohon Mangga depan rumah salah satu warga di Desa Wotsogo Kecamatan Jatirogo Berdiameter 70 cm. Sarang lebah yang menyebabkan Keresahan dan telah  menyerang Keluarga dan Warga sekitar.,Evakuasi/Penyelamatan Hewan,Segera,Bahaya Rendah
"Jumat, 08:04",Sarang Tawon,https://www.lapor.go.id/laporan/detil/sarang-tawon-202505231504161747987456830,Laporan permohonan evakuasi Sarang tawon avinis yang berada di Atap rumah salah satu warga di Desa Sidomukti Kecamatan Kenduruan Berdiameter 60 cm. Sarang lebah yang menyebabkan Keresahan bagi Keluarga dan Warga sekitar.,Evakuasi/Penyelamatan Hewan,Segera,Bahaya Rendah
"Jumat, 08:01",ular di garasi motor,https://www.lapor.go.id/laporan/detil/ular-di-garasi-motor-202505231501061747987266770,Laporan Ular oleh salah satu warga di Kelurahan Ronggomulyo Kecamatan Tuban yang berada di garasi motor.,Evakuasi/Penyelamatan Hewan,Segera,Bahaya Rendah
"Jumat, 07:57",Ular pyton,https://www.lapor.go.id/laporan/detil/ular-pyton-202505231457031747987023715,Laporan dari salah satu warga di Desa Tasikmadu Kecamatan Palang bahwa ada ular Phyton dengan panjang  3.5 m berjumlah 1 ekor yang berada  Dipekarangan samping  rumah.Selanjutnya yang bersangkutan meminta bantuan ke Satuan Pol PP dan Damkar untuk dilakukan evakuasi,Evakuasi/Penyelamatan Hewan,Segera,Bahaya Rendah
"Jumat, 07:54",ular di kandang ayam,https://www.lapor.go.id/laporan/detil/ular-di-kandang-ayam-202505231454051747986845673,Laporan dari salah satu warga di Kelurahan Gedongombo Kecamatan Semanding ada ular dikandang ayam miliknya,Evakuasi/Penyelamatan Hewan,Segera,Bahaya Rendah
